,title,rating,comment,date
0,Fire,5.0 stars,This STIIIZY is Chrome and hands down the best looking one.,"June 06, 2020"
1,Love the color,5.0 stars,"I love the color on the pen! Looks very expensive, but is actually very cheap!","March 23, 2022"
2,FR!,5.0 stars,Before: Meh? Idk what all the hype is about. After: HOOOOOOOLLLLLLLLLLYYYYY SHHHHIIIIIITTTTT!!!!!,"March 06, 2022"
3,Still have the kit for nearly half a year,5.0 stars,Great products from STIIIZY as always!,"November 30, 2021"
4,Gift,5.0 stars,I think this starter kit deserves to my stoner friend.,"November 15, 2021"
5,I love this product,5.0 stars,"I love how the quality of the product shows, look how this looks sleek and it screams professional!","November 14, 2021"
6,Solid,5.0 stars,A pretty solid thing I got.,"October 31, 2021"
7,I LIKE IT,5.0 stars,This is not just simple but legit and oringal. I like the silver color!,"October 30, 2021"
8,very effective,5.0 stars,I bought this pen pod to help cut back on smoking flower. It’s been very effective,"October 09, 2021"
9,Nice and spicy,5.0 stars,"Nice sweet and hot flavor! My pods makes me so happy, loving it!","October 07, 2021"
10,Sturdy lil thing,5.0 stars,"Doesn't break easy - dropped this a few times, just got dinged","September 15, 2021"
11,Durable device,5.0 stars,"Durable, had a red one for while, which, unfortunately, I misplaced. Thought i'd try a different design for a change.","September 15, 2021"
12,Solid device that looks good,5.0 stars,Looks good and feels like it's built pretty tough. Solid device and works well.,"August 29, 2021"
13,Great vape pens,5.0 stars,Decided to get a full kit instead of disposables! Been using them more and more. Love these pens from STIIIZY!!!!,"August 27, 2021"
14,"Works well, pretty discrete too",5.0 stars,"Discrete device, just the way I love em","August 14, 2021"
15,It's bill to use.,5.0 stars,Makes you do yu ting without living a luu.,"May 23, 2021"
16,More than good!,5.0 stars,"I would say this is built better than most, plus the color matches my bliiing!","April 02, 2021"
17,Stiizy Pod,5.0 stars,Very great and easy to use,"December 26, 2020"
18,SILVER EDITION,4.0 stars,IM THE ONLY FOO IN SANTA ANA WIT THIS BUT BESIDES THAT BATTERY GIVES U MAGIC POWERS,"December 05, 2019"
19,WEBSITE,5.0 stars,JUST GO TO THE STIIZY WEBSITE THEY SELL THEM 1@$25,"September 13, 2019"
20,Sick ass color i need it,5.0 stars,This color looks so lit and so cool. Please sell it to a dispensary near me 🥺 ik thats probably not how it works but never know lol ! Love stiiizys 🤞,"April 28, 2019"
21,Stizzy,5.0 stars,I absolutely love using my Stizzy. I love it more the smoking flower.,"June 07, 2019"
22,My device,5.0 stars,"The blue finish looks pretty good, picture does not really do it justice. Very well built too, you can feel it when you hold it on your hand.","October 30, 2021"
23,Liiiit device,5.0 stars,Liiit device. Feels solid on hand!,"August 31, 2021"
24,Blue,5.0 stars,How can I place an order,"September 18, 2020"
25,Pretty good,5.0 stars,Got me so high But the taste was kinda bad Overall pretty good,"April 01, 2020"
26,High af,5.0 stars,I’m faded and I’m 20 🤫,"February 27, 2020"
27,love it,5.0 stars,love it such a bright color,"May 23, 2019"
28,Good for begging,5.0 stars,The right amount of thc to the domain once if it has been a while since the last time great for those with experience in smoking,"October 20, 2022"
29,Good kit,5.0 stars,"Fits just perfect in my jeans. Blends with the colour too! Really good build, feels good and durable in my hands. Got it on with a sweet deal too!","April 21, 2022"
30,definitely picking some more,5.0 stars,If this starter kit is ever back in stock I’m definitely picking some up.,"March 23, 2022"
31,Fantastic design!,5.0 stars,Fantastic design! Im getting one for my GFs bday!,"March 07, 2022"
32,Like!,5.0 stars,"Few months in, still workin perfectly","November 14, 2021"
33,Niiiiiiice,5.0 stars,"Probably won't break easy, and that color is easy on the eyes.","October 15, 2021"
34,Blue!,5.0 stars,I gravitate towards this colorway. Good device!,"September 30, 2021"
35,Feels like this one will last,5.0 stars,Feels like this one will last.,"September 15, 2021"
36,STIIIZY Hits it on the head every time.,5.0 stars,"They do not miss, I have never had a company be this consistent. To their batteries to the pods and everything else, they kill it!","August 26, 2021"
37,Stiiizy swipes me off my feet’s,5.0 stars,"Tbh stiiizy remains the best after many years of smoking pot and carts , they are so innovative coming up with new products everyday ,when my buddy introduced me to this brand I got it from Marijuanahorizon dot com and ever since then that has been my shopping house","May 29, 2021"
38,By far Stiiizy is the BEST..,5.0 stars,I just picked the dodger blue Stiiizy battery for my husband and ordered myself the dirty blue grey one .... been looking for this one for a minute.... Our pens never leak ... we love them 💨💨💨💨💨,"April 14, 2021"
39,Love,5.0 stars,"Love the color, and the usual solid quality","March 14, 2021"
40,Picked up a deal !!!,5.0 stars,2 stizzy pens for 30$ plus 50$ for 2 stizzy pods 80$ for a whole stizzy set !!! Plus delivered to my home fast af 💯 ordering soon 🔜,"December 30, 2020"
41,New spot,5.0 stars,Was able to get a couple of items thanks to Izzy from Stiizy.,"September 30, 2019"
42,Best shii ever,5.0 stars,Really hits hard,"September 24, 2019"
43,where at,5.0 stars,where are they at,"September 15, 2019"
44,You’re my boy blue!,5.0 stars,Best color imo and one of the best battery/cart combos available,"September 11, 2019"
